word	Frecuencia
años	158866
gobierno	96181
vida	95846
país	87631
año	79625
mundo	78180
presidente	77740
caso	74984
forma	74682
casa	67773
millones	67011
hombre	66308
nacional	64040
política	63645
españa	61138
madrid	56676
partido	56016
grupo	52483
frente	50456
personas	49630
mujer	49342
ciudad	47635
social	46599
sistema	45551
historia	45129
punto	45097
noche	44827
josé	44813
situación	43885
tipo	43837
agua	43517
países	41653
ley	40017
juan	39398
proceso	38621
mano	38178
cambio	38117
importante	37941
realidad	37901
desarrollo	37845
sociedad	36290
centro	36134
número	36082
cuerpo	36050
gente	35520
siglo	35198
guerra	35166
obra	35148
padre	35076
ojos	34998
don	34913
pueblo	34504
muerte	34416
público	34409
problemas	34372
mañana	33918
madre	33542
nombre	33443
meses	33265
hombres	33105
derecho	33081
problema	32636
cabeza	32373
san	31992
hora	31776
ministro	31738
información	31686
señor	31052
mujeres	31012
tierra	30890
director	30876
pesetas	30752
manos	30709
podía	29950
llegar	29916
cosa	29629
familia	29532
equipo	29478
casos	29093
falta	29034
seguridad	28906
nivel	28776
voz	28701
iba	28592
carlos	28514
semana	28124
mayoría	27730
español	27569
luz	27412
orden	27364
político	27347
proyecto	27346
mercado	27334
internacional	27179
paso	27022
empresa	27016
policía	26794
palabras	26621
fuerza	26604
puesto	26548
puerta	26520
comisión	26221
programa	26207
española	26081
real	26012
méxico	25843
único	25841
acción	25778
libro	25561
interior	25531
condiciones	25371
calle	25193
obras	25101
capital	24952
música	24950
dios	24900
fondo	24811
persona	24793
dinero	24716
amor	24642
hijo	24576
zona	24560
tema	24482
razón	24480
camino	24465
ciento	24404
papel	24187
vista	24165
barcelona	24155
hablar	24150
presencia	24083
libertad	24003
especial	23946
consejo	23813
actual	23806
relaciones	23782
servicio	23770
campo	23734
relación	23652
minutos	23595
medios	23523
producción	23465
movimiento	23265
idea	23103
luis	23007
julio	22998
miembros	22970
interés	22889
alto	22841
principio	22767
dirección	22593
europa	22538
arte	22376
cultura	22342
empresas	22294
etc	22289
hacía	22256
visto	22207
puntos	22198
media	22165
mes	22046
sector	21950
población	21932
difícil	21929
fuerzas	21771
grupos	21668
congreso	21592
imagen	21586
figura	21535
futuro	21400
militar	21394
servicios	21383
espacio	21365
posibilidad	21332
niños	21245
económica	21244
economía	21199
personal	21188
jefe	21187
carácter	21178
organización	21169
central	21115
actividad	21064
aire	20981
banco	20930
prensa	20886
popular	20871
necesario	20869
justicia	20838
joven	20832
comunidad	20778
edad	20651
políticos	20599
efecto	20559
pública	20530
cara	20484
crisis	20482
