Forma	Frecuencia	Frec. norm.
,	8351278	58893.14
de	7742863	54602.61
.	5644794	39807.04
la	4631981	32664.69
que	3614163	25487.05
el	3199212	22560.81
y	3195761	22536.48
en	3116833	21979.88
a	2389675	16851.96
los	1952281	13767.47
se	1531772	10802.04
del	1468525	10356.02
un	1279402	9022.33
las	1270695	8960.93
por	1147210	8090.11
con	1117755	7882.39
una	1034020	7291.9
no	1008122	7109.26
su	857969	6050.39
—	809597	5709.27
para	788327	5559.27
""""	788163	5558.11
es	724673	5110.38
al	680464	4798.62
lo	622725	4391.45
)	579495	4086.59
como	558263	3936.86
(	545288	3845.36
:	517316	3648.1
más	507193	3576.72
El	504223	3555.77
La	421993	2975.89
o	414081	2920.09
sus	355754	2508.77
»	324004	2284.87
«	320841	2262.56
le	313643	2211.8
?	306326	2160.2
ha	305728	2155.99
En	302600	2133.93
¿	302069	2130.18
;	290958	2051.83
me	262146	1848.65
pero	240810	1698.19
sobre	228199	1609.25
sin	199271	1405.25
si	198921	1402.78
entre	196978	1389.08
ya	195442	1378.25
No	194954	1374.81
este	191598	1351.14
ser	183644	1295.05
todo	181523	1280.09
Y	176211	1242.63
dos	174758	1232.39
había	174043	1227.34
son	170398	1201.64
Los	167893	1183.98
fue	166375	1173.27
muy	162503	1145.96
cuando	160346	1130.75
era	159362	1123.81
años	158866	1120.32
esta	156602	1104.35
también	153479	1082.33
hasta	151165	1066.01
está	148157	1044.8
!	144450	1018.66
¡	140905	993.66
mi	137850	972.11
han	135918	958.49
porque	134906	951.35
desde	134348	947.42
A	130495	920.24
Pero	127724	900.7
Por	127117	896.42
puede	124018	874.57
sólo	122377	863.0
parte	119373	841.81
Se	116850	824.02
ni	114426	806.93
todos	112490	793.27
tiene	112183	791.11
nos	111991	789.75
–	110530	779.45
qué	109295	770.74
hay	107975	761.43
él	106286	749.52
mismo	105925	746.98
donde	105079	741.01
tiempo	98360	693.63
uno	98298	693.19
yo	98069	691.58
vez	97331	686.37
ese	95970	676.77
Las	95450	673.11
Es	95442	673.05
vida	94384	665.59
así	92976	655.66
bien	91033	641.96
otro	90590	638.83
otros	89633	632.09
cada	89495	631.11
dijo	89492	631.09
sido	88834	626.45
tan	88348	623.02
e	88113	621.37
día	86834	612.35
otra	86721	611.55
De	86159	607.59
hace	85202	600.84
esa	84840	598.29
1	84553	596.26
te	84158	593.48
siempre	82487	581.69
tres	82349	580.72
contra	81357	573.72
ahora	80656	568.78
sino	80064	564.61
después	79930	563.66
país	78540	553.86
ella	78458	553.28
año	78387	552.78
hacer	76676	540.71
durante	76645	540.49
gran	76306	538.1
eso	75167	530.07
forma	74682	526.65
caso	73974	521.66
aunque	73659	519.44
nada	71522	504.37
antes	71225	502.27
mundo	71148	501.73
estaba	70859	499.69
poco	70161	494.77
menos	69314	488.8
hecho	68782	485.05
hacia	68368	482.13
mayor	67566	476.47
unos	67252	474.26
millones	67011	472.56
momento	66124	466.3
ante	65777	463.85
Si	65678	463.16
les	65670	463.1
ayer	65596	462.58
sí	65546	462.22
presidente	64990	458.3
algo	64772	456.77
ellos	64758	456.67
quien	64672	456.06
general	63848	450.25
mucho	63767	449.68
primera	62916	443.68
hombre	62303	439.36
2	62188	438.54
estos	61907	436.56
están	61803	435.83
Lo	61402	433.0
según	61237	431.84
España	61138	431.14
política	60883	429.34
casa	60721	428.2
días	60701	428.06
otras	58382	411.7
Un	58263	410.87
tanto	58213	410.51
Para	57322	404.23
nuevo	57204	403.4
pasado	57178	403.21
debe	57091	402.6
Gobierno	56131	395.83
casi	56010	394.98
lugar	55866	393.96
toda	55837	393.76
mejor	55714	392.89
trabajo	55678	392.64
primer	54804	386.47
va	54749	386.08
Al	54260	382.64
algunos	53958	380.51
veces	53659	378.4
todas	53013	373.84
mientras	52685	371.53
ver	52514	370.32
medio	51826	365.47
misma	51183	360.94
hoy	51000	359.65
Una	50891	358.88
cuenta	50589	356.75
pues	50449	355.76
'	50371	355.21
Madrid	50254	354.39
3	50229	354.21
personas	49630	349.99
poder	49612	349.86
tal	49302	347.67
tenía	49256	347.35
cual	49229	347.16
tienen	49003	345.56
Con	48901	344.84
pueden	48848	344.47
fueron	48673	343.24
entonces	48478	341.86
Estado	48386	341.21
cosas	48058	338.9
sea	47955	338.17
esto	47221	333.0
Qué	47068	331.92
aquí	46422	327.36
estas	46283	326.38
mujer	46253	326.17
Me	46019	324.52
nunca	45453	320.53
punto	45097	318.02
frente	45090	317.97
grupo	44930	316.84
tener	44927	316.82
noche	44827	316.11
Yo	44819	316.06
haber	44278	312.24
situación	43885	309.47
tipo	43837	309.13
será	43544	307.07
dice	43274	305.16
sistema	43026	303.41
José	42666	300.88
cuatro	42656	300.8
ciudad	42577	300.25
fuera	42492	299.65
además	42390	298.93
agua	42380	298.86
Sin	42201	297.6
nuestro	42105	296.92
ello	41961	295.9
manera	41860	295.19
muchos	41789	294.69
aún	41785	294.66
dentro	41553	293.03
Cuando	41543	292.96
cómo	41541	292.94
grandes	41297	291.22
ejemplo	40649	286.65
países	40589	286.23
he	40485	285.49
bajo	40382	284.77
habían	40378	284.74
parece	40221	283.63
partido	40100	282.78
gobierno	40050	282.43
tarde	40009	282.14
mí	39731	280.18
historia	39698	279.94
hizo	39564	279.0
posible	39547	278.88
horas	39311	277.22
tras	38971	274.82
social	38835	273.86
decir	38826	273.8
cualquier	38759	273.32
sentido	38187	269.29
mano	38178	269.23
lado	38164	269.13
importante	37941	267.55
fin	37937	267.53
nuestra	37925	267.44
realidad	37901	267.27
luego	37835	266.81
Su	37788	266.48
proceso	37569	264.93
Como	37261	262.76
cambio	37069	261.41
4	36944	260.52
Este	36907	260.26
nueva	36819	259.64
usted	36584	257.99
estado	36495	257.36
estar	36256	255.67
número	36082	254.44
último	36074	254.39
Juan	35940	253.44
unas	35902	253.18
Estados	35761	252.18
Esta	35613	251.14
gente	35520	250.48
tu	35154	247.9
obra	35148	247.86
ojos	34998	246.8
final	34996	246.79
Nacional	34682	244.57
cuerpo	34497	243.27
problemas	34372	242.39
eran	34150	240.82
nadie	33944	239.37
desarrollo	33774	238.17
siglo	33694	237.6
nombre	33443	235.83
muerte	33396	235.5
meses	33265	234.58
hombres	33105	233.45
mis	33068	233.19
5	33017	232.83
problema	32636	230.14
cabeza	32373	228.29
dar	32363	228.22
padre	32270	227.56
Así	32256	227.46
sociedad	32081	226.23
pueblo	32006	225.7
San	31992	225.6
alguna	31935	225.2
verdad	31777	224.09
hora	31776	224.08
público	31646	223.16
esos	31622	222.99
mañana	31492	222.08
madre	31428	221.63
cinco	31093	219.26
allí	31090	219.24
DE	30938	218.17
6	30937	218.16
incluso	30894	217.86
pesetas	30752	216.86
todavía	30748	216.83
manos	30709	216.55
da	30693	216.44
Ya	30506	215.12
aquel	30367	214.14
algunas	30325	213.85
podría	30321	213.82
dicho	30005	211.59
mujeres	29977	211.39
podía	29950	211.2
llegar	29916	210.96
guerra	29896	210.82
propio	29811	210.22
10	29698	209.43
largo	29650	209.09
cosa	29629	208.94
equipo	29478	207.87
sería	29429	207.53
nacional	29358	207.03
ministro	29312	206.7
modo	29270	206.41
También	29127	205.4
junto	29122	205.36
casos	29093	205.16
falta	29034	204.74
muchas	28893	203.75
nivel	28776	202.92
información	28732	202.61
trata	28625	201.86
mal	28558	201.39
segundo	28535	201.22
nosotros	28293	199.52
familia	28275	199.39
mayoría	27730	195.55
algún	27667	195.1
ley	27643	194.93
tuvo	27507	193.97
sé	27409	193.28
político	27347	192.85
iba	27214	191.91
paso	27022	190.55
quienes	26703	188.3
últimos	26676	188.11
centro	26661	188.01
varios	26631	187.8
palabras	26621	187.73
puesto	26548	187.21
EL	26535	187.12
voz	26440	186.45
propia	26367	185.93
derecho	26251	185.12
semana	26061	183.78
director	26021	183.49
quiere	26007	183.4
Hay	25982	183.22
luz	25946	182.97
acuerdo	25873	182.45
cierto	25866	182.4
México	25843	182.24
único	25841	182.23
Carlos	25783	181.82
buena	25758	181.64
esas	25720	181.37
proyecto	25584	180.41
éste	25579	180.38
Le	25496	179.79
tú	25487	179.73
empresa	25474	179.64
aquella	25468	179.6
español	25422	179.27
primero	25408	179.17
condiciones	25371	178.91
ellas	25294	178.37
puerta	25290	178.34
mercado	25252	178.07
orden	25165	177.46
hubiera	25156	177.39
total	25106	177.04
Desde	25092	176.94
ex	24989	176.22
persona	24793	174.84
fuerza	24727	174.37
dinero	24716	174.29
última	24675	174.0
sabe	24604	173.5
hemos	24598	173.46
tema	24482	172.64
razón	24480	172.63
ciento	24404	172.09
Ahora	24378	171.91
Según	24332	171.58
papel	24187	170.56
van	24169	170.43
vista	24165	170.41
libro	24154	170.33
hablar	24150	170.3
tierra	24142	170.24
dio	24105	169.98
20	24095	169.91
señor	24093	169.9
presencia	24083	169.83
ningún	24029	169.45
demás	23867	168.3
acción	23854	168.21
actual	23806	167.87
calle	23804	167.86
buen	23720	167.27
relación	23652	166.79
